$,;,id,:=,print,(,),num,+,"comma",S',S,E,L
,,s20,,s5,,,,,,,g2,,
a,s3,,,,,,,,,,,,
,,s20,,s5,,,,,,,g4,,
r1,s3,,,,,,,,r1,,,,
,,,,,s6,,,,,,,,
,,s19,,,s14,,s13,,,,,g23,g7
,,,,,,s8,,,s9,,,,
r3,r3,,,,,,,,r3,,,,
,,s19,,,s14,,s13,,,,,g10,
,,,,,,r9,,s11,r9,,,,
,,s19,,,s14,,s13,,,,,g12,
r6,r6,,,,,r6,,s11,r6,,,,
r5,r5,,,,,r5,,r5,r5,,,,
,,s20,,s5,,,,,,,g15,,
,s3,,,,,,,,s16,,,,
,,s19,,,s14,,s13,,,,,g17,
,,,,,,s18,,s11,,,,,
r7,r7,,,,,r7,,r7,r7,,,,
r4,r4,,,,,r4,,r4,r4,,,,
,,,s21,,,,,,,,,,
,,s19,,,s14,,s13,,,,,g22,
r2,r2,,,,,,,s11,r2,,,,
,,,,,,r8,,s11,r8,,,,
